# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Pt1 WWbB.yoda/ATLAS_histo/Pt1
RatioPlotReference=johannes.yoda/ATLAS_histo/Pt1
RatioPlot=1
LogY=1
XLabel=$1^\mathrm{st}$ jet $\mathrm{p}_\mathrm{T}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dp}_{\mathrm{T}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Pt1
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	1.509688e-05	2.343592e-07	2.343592e-07
3.200000e+01	4.800000e+01	1.917743e-03	5.160976e-06	5.160976e-06
4.800000e+01	6.400000e+01	6.201262e-03	9.646877e-06	9.646877e-06
6.400000e+01	8.000000e+01	8.631888e-03	1.144869e-05	1.144869e-05
8.000000e+01	9.600000e+01	7.500438e-03	1.063403e-05	1.063403e-05
9.600000e+01	1.120000e+02	5.420587e-03	9.220728e-06	9.220728e-06
1.120000e+02	1.280000e+02	3.608362e-03	7.191507e-06	7.191507e-06
1.280000e+02	1.440000e+02	2.314397e-03	5.705984e-06	5.705984e-06
1.440000e+02	1.600000e+02	1.471815e-03	4.533606e-06	4.533606e-06
1.600000e+02	1.760000e+02	9.386308e-04	3.553052e-06	3.553052e-06
1.760000e+02	1.920000e+02	6.065836e-04	2.859319e-06	2.859319e-06
1.920000e+02	2.080000e+02	3.988065e-04	2.359409e-06	2.359409e-06
2.080000e+02	2.240000e+02	2.635258e-04	1.935539e-06	1.935539e-06
2.240000e+02	2.400000e+02	1.799476e-04	1.601708e-06	1.601708e-06
2.400000e+02	2.560000e+02	1.224912e-04	1.350023e-06	1.350023e-06
2.560000e+02	2.720000e+02	8.478773e-05	1.123223e-06	1.123223e-06
2.720000e+02	2.880000e+02	5.971855e-05	9.894084e-07	9.894084e-07
2.880000e+02	3.040000e+02	4.279125e-05	8.549035e-07	8.549035e-07
3.040000e+02	3.200000e+02	3.081368e-05	7.324596e-07	7.324596e-07
3.200000e+02	3.360000e+02	2.244521e-05	6.921229e-07	6.921229e-07
3.360000e+02	3.520000e+02	1.649416e-05	5.482054e-07	5.482054e-07
3.520000e+02	3.680000e+02	1.204536e-05	4.917114e-07	4.917114e-07
3.680000e+02	3.840000e+02	9.098258e-06	4.184725e-07	4.184725e-07
3.840000e+02	4.000000e+02	6.672066e-06	3.585745e-07	3.585745e-07
# END HISTO1D

# BEGIN HISTO1D WWbB.yoda/ATLAS_histo/Pt1
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=WWbB.yoda/ATLAS_histo/Pt1
ScaledBy=0.10288795443533943
Title=WWbB
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	3.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+01	4.800000e+01	2.102444e-03	7.946491e-04	7.946491e-04
4.800000e+01	6.400000e+01	1.021187e-02	1.751321e-03	1.751321e-03
6.400000e+01	8.000000e+01	1.051222e-02	1.776890e-03	1.776890e-03
8.000000e+01	9.600000e+01	1.021187e-02	1.751321e-03	1.751321e-03
9.600000e+01	1.120000e+02	6.607681e-03	1.408762e-03	1.408762e-03
1.120000e+02	1.280000e+02	4.204888e-03	1.123804e-03	1.123804e-03
1.280000e+02	1.440000e+02	2.402793e-03	8.495157e-04	8.495157e-04
1.440000e+02	1.600000e+02	1.802095e-03	7.357023e-04	7.357023e-04
1.600000e+02	1.760000e+02	2.402793e-03	8.495157e-04	8.495157e-04
1.760000e+02	1.920000e+02	2.102444e-03	7.946491e-04	7.946491e-04
1.920000e+02	2.080000e+02	1.501746e-03	6.716011e-04	6.716011e-04
2.080000e+02	2.240000e+02	1.201397e-03	6.006983e-04	6.006983e-04
2.240000e+02	2.400000e+02	6.006983e-04	4.247579e-04	4.247579e-04
2.400000e+02	2.560000e+02	6.006983e-04	4.247579e-04	4.247579e-04
2.560000e+02	2.720000e+02	9.010475e-04	5.202200e-04	5.202200e-04
2.720000e+02	2.880000e+02	3.003492e-04	3.003491e-04	3.003491e-04
2.880000e+02	3.040000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.040000e+02	3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.200000e+02	3.360000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.360000e+02	3.520000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.520000e+02	3.680000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.680000e+02	3.840000e+02	0.000000e+00	0.000000e+00	0.000000e+00
3.840000e+02	4.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

