# BEGIN PLOT
DrawOnly=emubB_homemade_scales.yoda/ATLAS_sherpa/deltaRl
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D emubB_homemade_scales.yoda/ATLAS_sherpa/deltaRl
ErrorBandColor=Gray
ErrorBandOpacity=0.1
ErrorBands=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=emubB_homemade_scales.yoda/ATLAS_sherpa/deltaRl
Title=emubB_homemade_scales
XLabel=$\Delta R_{l^+l^-$
YLabel=$\mathrm{d}\sigma/{d\Delta R_{l^+l^-}$ [pb]
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	8.662844e-03	3.935511e-04	3.935511e-04
1.000000e-01	2.000000e-01	2.585465e-02	6.707104e-04	6.707104e-04
2.000000e-01	3.000000e-01	4.391971e-02	9.398416e-04	9.398416e-04
3.000000e-01	4.000000e-01	6.196972e-02	1.879220e-03	1.879220e-03
4.000000e-01	5.000000e-01	7.688600e-02	1.228300e-03	1.228300e-03
5.000000e-01	6.000000e-01	9.610519e-02	3.444696e-03	3.444696e-03
6.000000e-01	7.000000e-01	1.124173e-01	1.662055e-03	1.662055e-03
7.000000e-01	8.000000e-01	1.304620e-01	1.821268e-03	1.821268e-03
8.000000e-01	9.000000e-01	1.443294e-01	1.694508e-03	1.694508e-03
9.000000e-01	1.000000e+00	1.618288e-01	2.209995e-03	2.209995e-03
1.000000e+00	1.100000e+00	1.789158e-01	1.926393e-03	1.926393e-03
1.100000e+00	1.200000e+00	1.947816e-01	2.054613e-03	2.054613e-03
1.200000e+00	1.300000e+00	2.113131e-01	2.226098e-03	2.226098e-03
1.300000e+00	1.400000e+00	2.237515e-01	2.215678e-03	2.215678e-03
1.400000e+00	1.500000e+00	2.408241e-01	2.248117e-03	2.248117e-03
1.500000e+00	1.600000e+00	2.552063e-01	2.299552e-03	2.299552e-03
1.600000e+00	1.700000e+00	2.693033e-01	2.491354e-03	2.491354e-03
1.700000e+00	1.800000e+00	2.815155e-01	2.298935e-03	2.298935e-03
1.800000e+00	1.900000e+00	3.038419e-01	2.621651e-03	2.621651e-03
1.900000e+00	2.000000e+00	3.151798e-01	2.501585e-03	2.501585e-03
2.000000e+00	2.100000e+00	3.360196e-01	2.783910e-03	2.783910e-03
2.100000e+00	2.200000e+00	3.503778e-01	2.895512e-03	2.895512e-03
2.200000e+00	2.300000e+00	3.689675e-01	3.419852e-03	3.419852e-03
2.300000e+00	2.400000e+00	3.782631e-01	2.680953e-03	2.680953e-03
2.400000e+00	2.500000e+00	3.931858e-01	2.815592e-03	2.815592e-03
2.500000e+00	2.600000e+00	4.034651e-01	2.684710e-03	2.684710e-03
2.600000e+00	2.700000e+00	4.239563e-01	2.845676e-03	2.845676e-03
2.700000e+00	2.800000e+00	4.339466e-01	2.952579e-03	2.952579e-03
2.800000e+00	2.900000e+00	4.474370e-01	2.826241e-03	2.826241e-03
2.900000e+00	3.000000e+00	4.622010e-01	3.027770e-03	3.027770e-03
3.000000e+00	3.100000e+00	4.622686e-01	3.117356e-03	3.117356e-03
3.100000e+00	3.200000e+00	4.113167e-01	2.734971e-03	2.734971e-03
3.200000e+00	3.300000e+00	2.690385e-01	2.203527e-03	2.203527e-03
3.300000e+00	3.400000e+00	1.986536e-01	1.991146e-03	1.991146e-03
3.400000e+00	3.500000e+00	1.526306e-01	1.716617e-03	1.716617e-03
3.500000e+00	3.600000e+00	1.177473e-01	1.459032e-03	1.459032e-03
3.600000e+00	3.700000e+00	8.827962e-02	1.223399e-03	1.223399e-03
3.700000e+00	3.800000e+00	6.820193e-02	1.132036e-03	1.132036e-03
3.800000e+00	3.900000e+00	5.228522e-02	9.583040e-04	9.583040e-04
3.900000e+00	4.000000e+00	3.903174e-02	7.967697e-04	7.967697e-04
4.000000e+00	4.100000e+00	3.039433e-02	1.461103e-03	1.461103e-03
4.100000e+00	4.200000e+00	2.155336e-02	6.084364e-04	6.084364e-04
4.200000e+00	4.300000e+00	1.635548e-02	5.126219e-04	5.126219e-04
4.300000e+00	4.400000e+00	1.176503e-02	6.796277e-04	6.796277e-04
4.400000e+00	4.500000e+00	9.086468e-03	4.086133e-04	4.086133e-04
4.500000e+00	4.600000e+00	6.372849e-03	3.053638e-04	3.053638e-04
4.600000e+00	4.700000e+00	4.280635e-03	2.807310e-04	2.807310e-04
4.700000e+00	4.800000e+00	3.483651e-03	2.386692e-04	2.386692e-04
4.800000e+00	4.900000e+00	1.808249e-03	1.277363e-04	1.277363e-04
4.900000e+00	5.000000e+00	1.136845e-03	9.326576e-05	9.326576e-05
# END HISTO1D

