# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Phiemu Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Phiemu
RatioPlotReference=johannes.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Phiemu
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	6.909944e-02	2.750813e-04	2.750813e-04
3.141593e-01	6.283185e-01	7.118397e-02	2.808417e-04	2.808417e-04
6.283186e-01	9.424778e-01	7.592574e-02	2.860587e-04	2.860587e-04
9.424774e-01	1.256637e+00	8.268567e-02	2.920446e-04	2.920446e-04
1.256637e+00	1.570797e+00	9.175515e-02	3.012910e-04	3.012910e-04
1.570796e+00	1.884956e+00	1.031443e-01	3.146758e-04	3.146758e-04
1.884955e+00	2.199115e+00	1.155731e-01	3.393782e-04	3.393782e-04
2.199114e+00	2.513274e+00	1.275251e-01	3.345381e-04	3.345381e-04
2.513274e+00	2.827434e+00	1.373988e-01	3.406832e-04	3.406832e-04
2.827433e+00	3.141593e+00	1.420313e-01	3.440686e-04	3.440686e-04
3.141592e+00	3.455752e+00	1.420058e-01	3.455107e-04	3.455107e-04
3.455752e+00	3.769912e+00	1.369760e-01	3.494370e-04	3.494370e-04
3.769911e+00	4.084071e+00	1.277034e-01	3.323474e-04	3.323474e-04
4.084070e+00	4.398230e+00	1.154080e-01	3.230914e-04	3.230914e-04
4.398229e+00	4.712389e+00	1.029620e-01	3.123471e-04	3.123471e-04
4.712389e+00	5.026549e+00	9.209881e-02	3.072951e-04	3.072951e-04
5.026548e+00	5.340708e+00	8.268425e-02	2.917503e-04	2.917503e-04
5.340707e+00	5.654867e+00	7.568764e-02	2.822095e-04	2.822095e-04
5.654866e+00	5.969026e+00	7.134183e-02	2.777178e-04	2.777178e-04
5.969026e+00	6.283186e+00	6.894279e-02	2.740590e-04	2.740590e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Phiemu
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_HThalf.yoda/ATLAS_histo/Phiemu
ScaledBy=0.00016712543406444125
Title=Rivet_ATLASH_FULL_HThalf
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	1.171387e-01	3.973657e-03	3.973657e-03
3.141593e-01	6.283185e-01	1.165995e-01	3.964503e-03	3.964503e-03
6.283185e-01	9.424778e-01	1.219914e-01	4.055130e-03	4.055130e-03
9.424778e-01	1.256637e+00	1.298096e-01	4.183057e-03	4.183057e-03
1.256637e+00	1.570796e+00	1.430198e-01	4.390749e-03	4.390749e-03
1.570796e+00	1.884956e+00	1.591950e-01	4.632383e-03	4.632383e-03
1.884956e+00	2.199115e+00	1.738884e-01	4.841454e-03	4.841454e-03
2.199115e+00	2.513274e+00	1.997695e-01	5.189255e-03	5.189255e-03
2.513274e+00	2.827433e+00	2.063745e-01	5.274345e-03	5.274345e-03
2.827433e+00	3.141593e+00	2.234931e-01	5.488730e-03	5.488730e-03
3.141593e+00	3.455752e+00	2.148668e-01	5.381769e-03	5.381769e-03
3.455752e+00	3.769911e+00	2.131144e-01	5.359779e-03	5.359779e-03
3.769911e+00	4.084070e+00	1.856158e-01	5.002048e-03	5.002048e-03
4.084070e+00	4.398230e+00	1.769882e-01	4.884408e-03	4.884408e-03
4.398230e+00	4.712389e+00	1.610827e-01	4.659775e-03	4.659775e-03
4.712389e+00	5.026548e+00	1.459854e-01	4.436037e-03	4.436037e-03
5.026548e+00	5.340708e+00	1.322356e-01	4.221959e-03	4.221959e-03
5.340708e+00	5.654867e+00	1.312925e-01	4.206883e-03	4.206883e-03
5.654867e+00	5.969026e+00	1.147124e-01	3.932291e-03	3.932291e-03
5.969026e+00	6.283185e+00	1.159256e-01	3.953030e-03	3.953030e-03
# END HISTO1D

