# BEGIN PLOT
RatioPlotReference=WWbBSherpa.yoda/ATLAS_sherpa/deltaRl
RatioPlot=1
DrawOnly=WWbBSherpa.yoda/ATLAS_sherpa/deltaRl emubB_homemade.yoda/ATLAS_sherpa/deltaRl
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D WWbBSherpa.yoda/ATLAS_sherpa/deltaRl
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=WWbBSherpa.yoda/ATLAS_sherpa/deltaRl
ScaledBy=4.9999727501484573e-08
Title=WWbBSherpa
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	8.348494e-03	2.014616e-04	2.014616e-04
1.000000e-01	2.000000e-01	2.597009e-02	3.550662e-04	3.550662e-04
2.000000e-01	3.000000e-01	4.360594e-02	4.601404e-04	4.601404e-04
3.000000e-01	4.000000e-01	5.971798e-02	5.370720e-04	5.370720e-04
4.000000e-01	5.000000e-01	7.858076e-02	6.200660e-04	6.200660e-04
5.000000e-01	6.000000e-01	9.443176e-02	6.865437e-04	6.865437e-04
6.000000e-01	7.000000e-01	1.111560e-01	7.388974e-04	7.388974e-04
7.000000e-01	8.000000e-01	1.289846e-01	7.986197e-04	7.986197e-04
8.000000e-01	9.000000e-01	1.436828e-01	8.394582e-04	8.394582e-04
9.000000e-01	1.000000e+00	1.595165e-01	8.794286e-04	8.794286e-04
1.000000e+00	1.100000e+00	1.767902e-01	9.356501e-04	9.356501e-04
1.100000e+00	1.200000e+00	1.926803e-01	9.674291e-04	9.674291e-04
1.200000e+00	1.300000e+00	2.072125e-01	1.003315e-03	1.003315e-03
1.300000e+00	1.400000e+00	2.240821e-01	1.041712e-03	1.041712e-03
1.400000e+00	1.500000e+00	2.413195e-01	1.083830e-03	1.083830e-03
1.500000e+00	1.600000e+00	2.560825e-01	1.108094e-03	1.108094e-03
1.600000e+00	1.700000e+00	2.715954e-01	1.135700e-03	1.135700e-03
1.700000e+00	1.800000e+00	2.864638e-01	1.187803e-03	1.187803e-03
1.800000e+00	1.900000e+00	3.016244e-01	1.193106e-03	1.193106e-03
1.900000e+00	2.000000e+00	3.201697e-01	1.225911e-03	1.225911e-03
2.000000e+00	2.100000e+00	3.330402e-01	1.237039e-03	1.237039e-03
2.100000e+00	2.200000e+00	3.509921e-01	1.270372e-03	1.270372e-03
2.200000e+00	2.300000e+00	3.659843e-01	1.290259e-03	1.290259e-03
2.300000e+00	2.400000e+00	3.809132e-01	1.304448e-03	1.304448e-03
2.400000e+00	2.500000e+00	3.940294e-01	1.322169e-03	1.322169e-03
2.500000e+00	2.600000e+00	4.104059e-01	1.338058e-03	1.338058e-03
2.600000e+00	2.700000e+00	4.246887e-01	1.373301e-03	1.373301e-03
2.700000e+00	2.800000e+00	4.367775e-01	1.374683e-03	1.374683e-03
2.800000e+00	2.900000e+00	4.481738e-01	1.394233e-03	1.394233e-03
2.900000e+00	3.000000e+00	4.578018e-01	1.404146e-03	1.404146e-03
3.000000e+00	3.100000e+00	4.636740e-01	1.396551e-03	1.396551e-03
3.100000e+00	3.200000e+00	4.132184e-01	1.335060e-03	1.335060e-03
3.200000e+00	3.300000e+00	2.700035e-01	1.103418e-03	1.103418e-03
3.300000e+00	3.400000e+00	2.000773e-01	9.741910e-04	9.741910e-04
3.400000e+00	3.500000e+00	1.529958e-01	8.646727e-04	8.646727e-04
3.500000e+00	3.600000e+00	1.169100e-01	7.563202e-04	7.563202e-04
3.600000e+00	3.700000e+00	9.024320e-02	6.719573e-04	6.719573e-04
3.700000e+00	3.800000e+00	6.916750e-02	6.000454e-04	6.000454e-04
3.800000e+00	3.900000e+00	5.241527e-02	5.311236e-04	5.311236e-04
3.900000e+00	4.000000e+00	3.990577e-02	4.692121e-04	4.692121e-04
4.000000e+00	4.100000e+00	2.941631e-02	4.029839e-04	4.029839e-04
4.100000e+00	4.200000e+00	2.198383e-02	3.532867e-04	3.532867e-04
4.200000e+00	4.300000e+00	1.624900e-02	3.058952e-04	3.058952e-04
4.300000e+00	4.400000e+00	1.164462e-02	2.624486e-04	2.624486e-04
4.400000e+00	4.500000e+00	8.295135e-03	2.276015e-04	2.276015e-04
4.500000e+00	4.600000e+00	6.224406e-03	2.015426e-04	2.015426e-04
4.600000e+00	4.700000e+00	4.565054e-03	1.778803e-04	1.778803e-04
4.700000e+00	4.800000e+00	2.912334e-03	1.327191e-04	1.327191e-04
4.800000e+00	4.900000e+00	2.119381e-03	1.205444e-04	1.205444e-04
4.900000e+00	5.000000e+00	1.352908e-03	9.214712e-05	9.214712e-05
# END HISTO1D

# BEGIN HISTO1D emubB_homemade.yoda/ATLAS_sherpa/deltaRl
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=emubB_homemade.yoda/ATLAS_sherpa/deltaRl
ScaledBy=0.0012419526589890135
Title=emubB_homemade
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e-01	8.662844e-03	3.935511e-04	3.935511e-04
1.000000e-01	2.000000e-01	2.585465e-02	6.707104e-04	6.707104e-04
2.000000e-01	3.000000e-01	4.391971e-02	9.398416e-04	9.398416e-04
3.000000e-01	4.000000e-01	6.196972e-02	1.879220e-03	1.879220e-03
4.000000e-01	5.000000e-01	7.688600e-02	1.228300e-03	1.228300e-03
5.000000e-01	6.000000e-01	9.610519e-02	3.444696e-03	3.444696e-03
6.000000e-01	7.000000e-01	1.124173e-01	1.662055e-03	1.662055e-03
7.000000e-01	8.000000e-01	1.304620e-01	1.821268e-03	1.821268e-03
8.000000e-01	9.000000e-01	1.443294e-01	1.694508e-03	1.694508e-03
9.000000e-01	1.000000e+00	1.618288e-01	2.209995e-03	2.209995e-03
1.000000e+00	1.100000e+00	1.789158e-01	1.926393e-03	1.926393e-03
1.100000e+00	1.200000e+00	1.947816e-01	2.054613e-03	2.054613e-03
1.200000e+00	1.300000e+00	2.113131e-01	2.226098e-03	2.226098e-03
1.300000e+00	1.400000e+00	2.237515e-01	2.215678e-03	2.215678e-03
1.400000e+00	1.500000e+00	2.408241e-01	2.248117e-03	2.248117e-03
1.500000e+00	1.600000e+00	2.552063e-01	2.299552e-03	2.299552e-03
1.600000e+00	1.700000e+00	2.693033e-01	2.491354e-03	2.491354e-03
1.700000e+00	1.800000e+00	2.815155e-01	2.298935e-03	2.298935e-03
1.800000e+00	1.900000e+00	3.038419e-01	2.621651e-03	2.621651e-03
1.900000e+00	2.000000e+00	3.151798e-01	2.501585e-03	2.501585e-03
2.000000e+00	2.100000e+00	3.360196e-01	2.783910e-03	2.783910e-03
2.100000e+00	2.200000e+00	3.503778e-01	2.895512e-03	2.895512e-03
2.200000e+00	2.300000e+00	3.689675e-01	3.419852e-03	3.419852e-03
2.300000e+00	2.400000e+00	3.782631e-01	2.680953e-03	2.680953e-03
2.400000e+00	2.500000e+00	3.931858e-01	2.815592e-03	2.815592e-03
2.500000e+00	2.600000e+00	4.034651e-01	2.684710e-03	2.684710e-03
2.600000e+00	2.700000e+00	4.239563e-01	2.845676e-03	2.845676e-03
2.700000e+00	2.800000e+00	4.339466e-01	2.952579e-03	2.952579e-03
2.800000e+00	2.900000e+00	4.474370e-01	2.826241e-03	2.826241e-03
2.900000e+00	3.000000e+00	4.622010e-01	3.027770e-03	3.027770e-03
3.000000e+00	3.100000e+00	4.622686e-01	3.117356e-03	3.117356e-03
3.100000e+00	3.200000e+00	4.113167e-01	2.734971e-03	2.734971e-03
3.200000e+00	3.300000e+00	2.690385e-01	2.203527e-03	2.203527e-03
