# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Phiemu Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
RatioPlotReference=johannes.yoda/ATLAS_histo/Phiemu
RatioPlot=1
LogY=0
LegendXPos=0.65
XLabel=Azimuthal angle between the two leptons $\phi_{\mathrm{e}^+\mu^-}$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\phi$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Phiemu
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141592e-01	6.909944e-02	2.750813e-04	2.750813e-04
3.141593e-01	6.283185e-01	7.118397e-02	2.808417e-04	2.808417e-04
6.283186e-01	9.424778e-01	7.592574e-02	2.860587e-04	2.860587e-04
9.424774e-01	1.256637e+00	8.268567e-02	2.920446e-04	2.920446e-04
1.256637e+00	1.570797e+00	9.175515e-02	3.012910e-04	3.012910e-04
1.570796e+00	1.884956e+00	1.031443e-01	3.146758e-04	3.146758e-04
1.884955e+00	2.199115e+00	1.155731e-01	3.393782e-04	3.393782e-04
2.199114e+00	2.513274e+00	1.275251e-01	3.345381e-04	3.345381e-04
2.513274e+00	2.827434e+00	1.373988e-01	3.406832e-04	3.406832e-04
2.827433e+00	3.141593e+00	1.420313e-01	3.440686e-04	3.440686e-04
3.141592e+00	3.455752e+00	1.420058e-01	3.455107e-04	3.455107e-04
3.455752e+00	3.769912e+00	1.369760e-01	3.494370e-04	3.494370e-04
3.769911e+00	4.084071e+00	1.277034e-01	3.323474e-04	3.323474e-04
4.084070e+00	4.398230e+00	1.154080e-01	3.230914e-04	3.230914e-04
4.398229e+00	4.712389e+00	1.029620e-01	3.123471e-04	3.123471e-04
4.712389e+00	5.026549e+00	9.209881e-02	3.072951e-04	3.072951e-04
5.026548e+00	5.340708e+00	8.268425e-02	2.917503e-04	2.917503e-04
5.340707e+00	5.654867e+00	7.568764e-02	2.822095e-04	2.822095e-04
5.654866e+00	5.969026e+00	7.134183e-02	2.777178e-04	2.777178e-04
5.969026e+00	6.283186e+00	6.894279e-02	2.740590e-04	2.740590e-04
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASH_FULL_100000.yoda/ATLAS_histo/Phiemu
ScaledBy=0.00014688476998651068
Title=Rivet_ATLASH_FULL_100000
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	3.141593e-01	1.155099e-01	3.699278e-03	3.699278e-03
3.141593e-01	6.283185e-01	1.143253e-01	3.680261e-03	3.680261e-03
6.283185e-01	9.424778e-01	1.162208e-01	3.710644e-03	3.710644e-03
9.424778e-01	1.256637e+00	1.300820e-01	3.925691e-03	3.925691e-03
1.256637e+00	1.570796e+00	1.369535e-01	4.028042e-03	4.028042e-03
1.570796e+00	1.884956e+00	1.541314e-01	4.273192e-03	4.273192e-03
1.884956e+00	2.199115e+00	1.794848e-01	4.611279e-03	4.611279e-03
2.199115e+00	2.513274e+00	1.942938e-01	4.797744e-03	4.797744e-03
2.513274e+00	2.827433e+00	2.163296e-01	5.062506e-03	5.062506e-03
2.827433e+00	3.141593e+00	2.293608e-01	5.212744e-03	5.212744e-03
3.141593e+00	3.455752e+00	2.319679e-01	5.242296e-03	5.242296e-03
3.455752e+00	3.769911e+00	2.064964e-01	4.946111e-03	4.946111e-03
3.769911e+00	4.084070e+00	1.954785e-01	4.812350e-03	4.812350e-03
4.084070e+00	4.398230e+00	1.767594e-01	4.576129e-03	4.576129e-03
4.398230e+00	4.712389e+00	1.547242e-01	4.281409e-03	4.281409e-03
4.712389e+00	5.026548e+00	1.426401e-01	4.110819e-03	4.110819e-03
5.026548e+00	5.340708e+00	1.326881e-01	3.964813e-03	3.964813e-03
5.340708e+00	5.654867e+00	1.239215e-01	3.831607e-03	3.831607e-03
5.654867e+00	5.969026e+00	1.182349e-01	3.742660e-03	3.742660e-03
5.969026e+00	6.283185e+00	1.134960e-01	3.666890e-03	3.666890e-03
# END HISTO1D

