# BEGIN PLOT
DrawOnly=johannes.yoda/ATLAS_histo/Mlb Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
RatioPlotReference=johannes.yoda/ATLAS_histo/Mlb
RatioPlot=1
LogY=1
LegendXPos=0.65
XLabel=$\mathrm{m}_\mathrm{lb}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{dm}_{\mathrm{lb}}$ [pb]
Legend=1
# END PLOT

# BEGIN HISTO1D johannes.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{EE3311}}
LineStyle=solid
Path=johannes.yoda/ATLAS_histo/Mlb
Title=johannes
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	6.943358e-08	2.688880e-08	2.688880e-08
1.600000e+01	2.400000e+01	1.058791e-05	5.545169e-07	5.545169e-07
2.400000e+01	3.200000e+01	8.226675e-05	1.548904e-06	1.548904e-06
3.200000e+01	4.000000e+01	2.671752e-04	2.773794e-06	2.773794e-06
4.000000e+01	4.800000e+01	6.395203e-04	4.336206e-06	4.336206e-06
4.800000e+01	5.600000e+01	1.300953e-03	6.266320e-06	6.266320e-06
5.600000e+01	6.400000e+01	2.319509e-03	8.514271e-06	8.514271e-06
6.400000e+01	7.200000e+01	3.684000e-03	1.091420e-05	1.091420e-05
7.200000e+01	8.000000e+01	5.262277e-03	1.309832e-05	1.309832e-05
8.000000e+01	8.800000e+01	6.767958e-03	1.487799e-05	1.487799e-05
8.800000e+01	9.600000e+01	7.768348e-03	1.587089e-05	1.587089e-05
9.600000e+01	1.040000e+02	8.026400e-03	1.585660e-05	1.585660e-05
1.040000e+02	1.120000e+02	7.432209e-03	1.464146e-05	1.464146e-05
1.120000e+02	1.200000e+02	6.038858e-03	1.235626e-05	1.235626e-05
1.200000e+02	1.280000e+02	4.097976e-03	9.232282e-06	9.232282e-06
1.280000e+02	1.360000e+02	2.152730e-03	5.964334e-06	5.964334e-06
1.360000e+02	1.440000e+02	7.628034e-04	3.178713e-06	3.178713e-06
1.440000e+02	1.520000e+02	1.710201e-04	2.116735e-06	2.116735e-06
1.520000e+02	1.600000e+02	6.374713e-05	1.933989e-06	1.933989e-06
1.600000e+02	1.680000e+02	4.335827e-05	1.638889e-06	1.638889e-06
1.680000e+02	1.760000e+02	3.360855e-05	1.766261e-06	1.766261e-06
1.760000e+02	1.840000e+02	2.440600e-05	1.536746e-06	1.536746e-06
1.840000e+02	1.920000e+02	1.829057e-05	1.361372e-06	1.361372e-06
1.920000e+02	2.000000e+02	1.749633e-05	3.197952e-06	3.197952e-06
# END HISTO1D

# BEGIN HISTO1D Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
ErrorBars=1
LineColor={[HTML]{3366FF}}
LineStyle=solid
Path=Rivet_ATLASHNEW_FULL_CUTS.yoda/ATLAS_histo/Mlb
ScaledBy=7.6639354863602522e-06
Title=Rivet_ATLASHNEW_FULL_CUTS
XLabel=
YLabel=
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	2.400000e+01	4.789960e-06	2.142135e-06	2.142135e-06
2.400000e+01	3.200000e+01	5.364755e-05	7.168955e-06	7.168955e-06
3.200000e+01	4.000000e+01	2.232121e-04	1.462311e-05	1.462311e-05
4.000000e+01	4.800000e+01	5.977870e-04	2.393063e-05	2.393063e-05
4.800000e+01	5.600000e+01	1.170666e-03	3.348864e-05	3.348864e-05
5.600000e+01	6.400000e+01	2.036691e-03	4.417163e-05	4.417163e-05
6.400000e+01	7.200000e+01	3.151794e-03	5.494900e-05	5.494900e-05
7.200000e+01	8.000000e+01	4.423049e-03	6.509413e-05	6.509413e-05
8.000000e+01	8.800000e+01	5.343679e-03	7.154860e-05	7.154860e-05
8.800000e+01	9.600000e+01	5.959667e-03	7.556000e-05	7.556000e-05
9.600000e+01	1.040000e+02	5.704842e-03	7.392694e-05	7.392694e-05
1.040000e+02	1.120000e+02	4.900129e-03	6.851485e-05	6.851485e-05
1.120000e+02	1.200000e+02	3.393207e-03	5.701461e-05	5.701461e-05
1.200000e+02	1.280000e+02	1.870000e-03	4.232547e-05	4.232547e-05
1.280000e+02	1.360000e+02	6.897542e-04	2.570562e-05	2.570562e-05
1.360000e+02	1.440000e+02	1.647746e-04	1.256395e-05	1.256395e-05
1.440000e+02	1.520000e+02	4.885759e-05	6.841431e-06	6.841431e-06
1.520000e+02	1.600000e+02	2.778176e-05	5.158944e-06	5.158944e-06
1.600000e+02	1.680000e+02	1.820185e-05	4.175790e-06	4.175790e-06
1.680000e+02	1.760000e+02	9.579919e-06	3.029437e-06	3.029437e-06
1.760000e+02	1.840000e+02	1.724385e-05	4.064415e-06	4.064415e-06
1.840000e+02	1.920000e+02	1.341189e-05	3.584478e-06	3.584478e-06
1.920000e+02	2.000000e+02	6.705944e-06	2.534608e-06	2.534608e-06
# END HISTO1D

